layer,glb_usage,glb_ifmap_read,glb_filter_read,glb_bias_read,glb_psum_read_conv,glb_psum_read_pool,glb_psum_read,glb_psum_write_conv,glb_ofmap_write_pool,glb_psum_write,glb_read,glb_write,glb_access,dram_ifmap_read,dram_filter_read,dram_bias_read,dram_read,dram_write,dram_access,macs,latency,energy_total,power_total,intensity,peak_performance,peak_bandwidth,bound_by,infeasible,pe_h,pe_w,pe_total,hw_label
conv1,33976,30720,6912,1024,0,262144,262144,262144,16384,278528,300800,278528,579328,7680,6912,1024,15616,16384,32000,1769472,657344,15.89656,4836.603057151202,55.296,48,4,compute,False,6,8,48,6x8
conv2,50736,983040,221184,1536,1376256,196608,1572864,1572864,12288,1585152,2778624,1585152,4363776,40960,221184,1536,263680,12288,275968,28311552,2772608,156.14761599999997,11263.591246941507,102.5899814471243,48,4,compute,False,6,8,48,6x8
conv3,50096,1474560,663552,1536,2260992,98304,2359296,2359296,24576,2383872,4498944,2383872,6882816,30720,663552,1536,695808,24576,720384,42467328,4366464,298.93123199999997,13692.142291794917,58.95095948827292,48,4,compute,False,6,8,48,6x8
conv4,33712,1966080,884736,1024,3080192,65536,3145728,3145728,16384,3162112,5997568,3162112,9159680,61440,884736,1024,947200,16384,963584,56623104,5800704,399.009984,13757.29511452403,58.76301806588735,48,4,compute,False,6,8,48,6x8
conv5,33712,1310720,589824,1024,2031616,65536,2097152,2097152,4096,2101248,3998720,2101248,6099968,40960,589824,1024,631808,4096,635904,37748736,3926784,264.659648,13479.715105287176,59.36231884057971,48,4,compute,False,6,8,48,6x8
conv1,34224,15360,6912,1024,0,262144,262144,262144,16384,278528,285440,278528,563968,7680,6912,1024,15616,16384,32000,1769472,649664,15.741039999999998,4845.901881588021,55.296,96,4,compute,False,12,8,96,12x8
conv2,52304,983040,221184,1536,589824,196608,786432,786432,12288,798720,1992192,798720,2790912,40960,221184,1536,263680,12288,275968,28311552,1986176,140.222368,14119.833086292452,102.5899814471243,96,4,compute,False,12,8,96,12x8
conv3,51024,1474560,663552,1536,1081344,98304,1179648,1179648,24576,1204224,3319296,1204224,4523520,30720,663552,1536,695808,24576,720384,42467328,3186816,275.04335999999995,17261.32666586336,58.95095948827292,96,4,compute,False,12,8,96,12x8
conv4,34640,1966080,884736,1024,1507328,65536,1572864,1572864,16384,1589248,4424704,1589248,6013952,61440,884736,1024,947200,16384,963584,56623104,4227840,367.159488,17368.655767484102,58.76301806588735,96,4,compute,False,12,8,96,12x8
conv5,34640,1310720,589824,1024,983040,65536,1048576,1048576,4096,1052672,2950144,1052672,4002816,40960,589824,1024,631808,4096,635904,37748736,2878208,243.425984,16915.10717779952,59.36231884057971,96,4,compute,False,12,8,96,12x8
conv1,36280,26112,1728,256,0,262144,262144,262144,16384,278528,290240,278528,568768,26112,1728,256,28096,16384,44480,1769472,667664,18.28954,5478.665915789978,39.781294964028774,256,4,memory,False,16,16,256,16x16
